key,value,color,los,buffer,anchor,water,description
amenity,casino,#d97706,False,False,False,False,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds."
amenity,charging_station,#d97706,False,False,False,False,Charging facility for electric vehicles
amenity,check_in,#d97706,False,False,False,False,Place where passengers can get their boarding passes before travel (typically found in airports).
amenity,cinema,#d97706,False,False,False,False,A place where films are shown (US: movie theater)
amenity,clinic,#d97706,False,False,False,False,A medium-sized medical facility or health centre.
amenity,clock,#d97706,False,False,False,False,A public visible clock
amenity,compressed_air,#d97706,False,False,False,False,"A device to inflate tires/tyres (e.g. motorcar, bicycle)"
amenity,conference_centre,#d97706,False,False,False,False,A large building that is used to hold a convention
amenity,crematorium,#d97706,False,False,False,False,A place where dead human bodies are burnt
amenity,dancing_school,#d97706,False,False,False,False,A dancing school or dance studio
amenity,dentist,#d97706,False,False,False,False,A dentist practice / surgery.
amenity,dive_centre,#d97706,False,False,False,False,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.
amenity,doctors,#d97706,False,False,False,False,A doctor's practice / surgery.
amenity,dog_toilet,#d97706,False,False,False,False,Area designated for dogs to urinate and excrete.
amenity,dressing_room,#d97706,False,False,False,False,Area designated for changing clothes.
amenity,drinking_water,#d97706,False,False,False,False,"Drinking wateris a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as adrinking fountainorbubbler."
amenity,driver_training,#d97706,False,False,False,False,A place for driving training on a closed course
amenity,driving_school,#d97706,False,False,False,False,Driving School which offers motor vehicle driving lessons
amenity,events_venue,#d97706,False,False,False,False,A building specifically used for organising events
amenity,exhibition_centre,#d97706,False,False,False,False,An exhibition centre
amenity,fast_food,#d97706,False,False,False,False,Fast food restaurant (see alsoamenity=restaurant). The kind of food served can be tagged withcuisine=*anddiet:*=*.
amenity,ferry_terminal,#d97706,False,False,False,False,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.
amenity,fire_station,#d97706,False,False,False,False,A station of a fire brigade
amenity,first_aid_school,#d97706,False,False,False,False,A place where people can go for first aid courses.
amenity,food_court,#d97706,False,False,False,False,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc."
amenity,fountain,#d97706,False,False,False,False,A fountain for cultural / decorational / recreational purposes.
amenity,fuel,#d97706,False,False,False,False,Petrol station; gas station; marine fuel; … Streets to petrol stations are often taggedhighway=service.
amenity,funeral_hall,#d97706,False,False,False,False,"A place for holding a funeral ceremony, other than a place of worship."
amenity,gambling,#d97706,False,False,False,False,"A place for gambling, not being ashop=bookmaker,shop=lottery,amenity=casino, orleisure=adult_gaming_centre.Games that are covered by this definition include bingo and pachinko."
amenity,give_box,#d97706,False,False,False,False,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.
amenity,grave_yard,#d97706,False,False,False,False,"A (smaller) place of burial, often you'll find a church nearby. Large places should belanduse=cemeteryinstead."
amenity,grit_bin,#d97706,False,False,False,False,A container that holds grit or a mixture of salt and grit.
amenity,hospital,#d97706,False,False,False,False,A hospital providing in-patient medical treatment. Often used in conjunction withemergency=*to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.))
amenity,hunting_stand,#d97706,False,False,False,False,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain
amenity,hydrant,#d97706,False,False,False,False,"Similar to afire_hydrant=*, but for gardening and other municipal purposes other than fire extinction"
amenity,ice_cream,#d97706,False,False,False,False,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter
amenity,internet_cafe,#d97706,False,False,False,False,A place whose principal role is providing internet services to the public.
amenity,kindergarten,#d97706,False,False,False,False,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children."
amenity,kitchen,#d97706,False,False,False,False,A public kitchen in a facility to use by everyone or customers
amenity,kneipp_water_cure,#d97706,False,False,False,False,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.
amenity,language_school,#d97706,False,False,False,False,Language School: an educational institution where one studies a foreign language.
amenity,library,#d97706,False,False,False,False,"A public library (municipal, university, …) to borrow books from."
amenity,lounge,#d97706,False,False,False,False,"A comfortable waiting area for customers, usually found in airports and other transportation hubs. Typically has extra amenities or sustenance."
amenity,lounger,#d97706,False,False,False,False,An object for people to lie down.
amenity,love_hotel,#d97706,False,False,False,False,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.
amenity,mailroom,#d97706,False,False,False,False,A mailroom for receiving packages or letters.
amenity,marketplace,#d97706,False,False,False,False,A marketplace where goods and services are traded daily or weekly.
amenity,monastery,#d97706,False,False,False,False,Monastery is the location of a monastery or a building in which monks and nuns live.
amenity,money_transfer,#d97706,False,False,False,False,"A place that offers money transfers, especially cash to cash"
amenity,mortuary,#d97706,False,False,False,False,"A morgue or funeral home, used for the storage of human corpses."
amenity,motorcycle_parking,#d97706,False,False,False,False,Parking for motorcycles
amenity,music_school,#d97706,False,False,False,False,"A music school, an educational institution specialized in the study, training, and research of music."
amenity,music_venue,#d97706,False,False,False,False,An indoor place to hear contemporary live music.
amenity,nightclub,#d97706,False,False,False,False,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likelyamenity=stripclub."
amenity,nursing_home,#d97706,False,False,False,False,Discouraged tag for a home for disabled or elderly persons who need permanent care. Useamenity=social_facility+social_facility=nursing_homenow.
amenity,parcel_locker,#d97706,False,False,False,False,Machine for picking up and sending parcels
amenity,parking,#d97706,False,False,False,False,Parking area for vehicles. Streets on car parking are often taggedhighway=serviceandservice=parking_aisle.
amenity,parking_entrance,#d97706,False,False,False,False,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tagstype=siteandsite=parking
amenity,parking_space,#d97706,False,False,False,False,A single parking space within a car park. Parking spaces should be mapped within anamenity=parkingarea. Group multiple parking spaces together with a relation using the tagstype=siteandsite=parking
amenity,payment_centre,#d97706,False,False,False,False,"A non-bank place, where people can pay bills of public and private services and taxes."
amenity,payment_terminal,#d97706,False,False,False,False,Self-service payment kiosk/terminal
amenity,pharmacy,#d97706,False,False,False,False,Pharmacy: a shop where a pharmacist sells medicationsdispensing=yes/no- availability of prescription-only medications
amenity,photo_booth,#d97706,False,False,False,False,A stand to create instant photos.
amenity,place_of_mourning,#d97706,False,False,False,False,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died."
amenity,place_of_worship,#d97706,False,False,False,False,"A church, mosque, or temple, etc. Note that you also needreligion=*, usuallydenomination=*and preferablyname=*as well asamenity=place_of_worship. Seethe articlefor details."
amenity,planetarium,#d97706,False,False,False,False,A planetarium.
amenity,police,#d97706,False,False,False,False,A police station where police officers patrol from and that is a first point of contact for civilians
amenity,post_box,#d97706,False,False,False,False,A box for the reception of mail. Alternative mail-carriers can be tagged viaoperator=*
amenity,post_depot,#d97706,False,False,False,False,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery."
amenity,post_office,#d97706,False,False,False,False,Post office building with postal services
amenity,prison,#d97706,False,False,False,False,A prison or jail where people are incarcerated before trial or after conviction
amenity,pub,#d97706,False,False,False,False,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description ofamenity=barandamenity=pubfor distinction between bar and pub
amenity,public_bath,#d97706,False,False,False,False,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring"
amenity,public_bookcase,#d97706,False,False,False,False,A street furniture containing books. Take one or leave one.
amenity,public_building,#d97706,False,False,False,False,A generic public building. Don't use! Seeoffice=government.
amenity,ranger_station,#d97706,False,False,False,False,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc"
amenity,recycling,#d97706,False,False,False,False,"Recycling facilities (bottle banks, etc.). Combine withrecycling_type=containerfor containers orrecycling_type=centrefor recycling centres."
amenity,refugee_site,#d97706,False,False,False,False,A human settlement sheltering refugees or internally displaced persons
amenity,research_institute,#d97706,False,False,False,False,An establishment endowed for doing research.
amenity,restaurant,#d97706,False,False,False,False,"Restaurant (not fast food, seeamenity=fast_food). The kind of food served can be tagged withcuisine=*anddiet:*=*."
amenity,shelter,#d97706,False,False,False,False,A small shelter against bad weather conditions. To additionally describe the kind of shelter useshelter_type=*.
amenity,shower,#d97706,False,False,False,False,Public shower.
amenity,social_centre,#d97706,False,False,False,False,A place for free and not-for-profit activities.
amenity,social_facility,#d97706,False,False,False,False,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc."
amenity,stage,#d97706,False,False,False,False,A raised platform for performers.
amenity,stripclub,#d97706,False,False,False,False,A place that offers striptease or lapdancing (for sexual services useamenity=brothel).
amenity,studio,#d97706,False,False,False,False,TV radio or recording studio
amenity,surf_school,#d97706,False,False,False,False,A surf school is an establishment that teaches surfing.
amenity,swingerclub,#d97706,False,False,False,False,A club where people meet to have a party and group sex.
amenity,taxi,#d97706,False,False,False,False,A place where taxis wait for passengers.
amenity,telephone,#d97706,False,False,False,False,Public telephone
amenity,theatre,#d97706,False,False,False,False,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Useamenity=cinemafor movie theaters."
amenity,toilets,#d97706,False,False,False,False,Public toilets (might require a fee)
amenity,townhall,#d97706,False,False,False,False,"Building where the administration of a village, town or city may be located, or just a community meeting place"
amenity,toy_library,#d97706,False,False,False,False,"A place to borrow games and toys, or play with them on site."
amenity,traffic_park,#d97706,False,False,False,False,Juvenile traffic schools
amenity,training,#d97706,False,False,False,False,Public place where you can get training.
amenity,*,#d97706,False,False,False,False,All commonly used valuesaccording toTaginfo
amenity,vehicle_inspection,#d97706,False,False,False,False,Government vehicle inspection
amenity,vending_machine,#d97706,False,False,False,False,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods usingvending=*"
amenity,veterinary,#d97706,False,False,False,False,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices."
amenity,waste_basket,#d97706,False,False,False,False,A single small container for depositing garbage that is easily accessible for pedestrians.
amenity,waste_disposal,#d97706,False,False,False,False,"A medium or large disposal bin, typically for bagged up household or industrial waste."
amenity,waste_transfer_station,#d97706,False,False,False,False,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk."
amenity,water_point,#d97706,False,False,False,False,Place where you can get large amounts of drinking water
amenity,watering_place,#d97706,False,False,False,False,Place where water is contained and animals can drink
